2025-03-20T18:40:37.616161-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=40, sum[1...40]=820, Running on core:3
2025-03-20T18:40:37.616366-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=41, sum[1...41]=861, Running on core:3
2025-03-20T18:40:37.616559-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=42, sum[1...42]=903, Running on core:3
2025-03-20T18:40:37.617562-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=43, sum[1...43]=946, Running on core:3
2025-03-20T18:40:37.618061-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=44, sum[1...44]=990, Running on core:3
2025-03-20T18:40:37.618496-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=45, sum[1...45]=1035, Running on core:3
2025-03-20T18:40:37.618970-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=46, sum[1...46]=1081, Running on core:3
2025-03-20T18:40:37.619399-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=47, sum[1...47]=1128, Running on core:3
2025-03-20T18:40:37.619854-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=48, sum[1...48]=1176, Running on core:3
2025-03-20T18:40:37.620388-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=49, sum[1...49]=1225, Running on core:3
2025-03-20T18:40:37.620919-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=50, sum[1...50]=1275, Running on core:3
2025-03-20T18:40:37.621189-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=51, sum[1...51]=1326, Running on core:3
2025-03-20T18:40:37.621450-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=52, sum[1...52]=1378, Running on core:3
2025-03-20T18:40:37.623144-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=53, sum[1...53]=1431, Running on core:3
2025-03-20T18:40:37.623821-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=54, sum[1...54]=1485, Running on core:3
2025-03-20T18:40:37.624273-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=55, sum[1...55]=1540, Running on core:3
2025-03-20T18:40:37.624836-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=56, sum[1...56]=1596, Running on core:3
2025-03-20T18:40:37.625632-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=57, sum[1...57]=1653, Running on core:3
2025-03-20T18:40:37.625955-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=58, sum[1...58]=1711, Running on core:3
