2025-03-27T14:52:06.878607-04:00 raspberrypi pthread: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.6.74+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.6.74-1+rpt1 (2025-01-27) aarch64 GNU/Linux
2025-03-27T14:52:10.303596-04:00 raspberrypi pthread: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.6.74+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.6.74-1+rpt1 (2025-01-27) aarch64 GNU/Linux
2025-03-27T14:52:14.153289-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=37, sum[0...37]=703, running on CPU=3
2025-03-27T14:52:14.389248-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=38, sum[0...38]=741, running on CPU=3
2025-03-27T14:52:14.580436-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=39, sum[0...39]=780, running on CPU=3
2025-03-27T14:52:14.775952-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=40, sum[0...40]=820, running on CPU=3
2025-03-27T14:52:14.976112-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=41, sum[0...41]=861, running on CPU=3
2025-03-27T14:52:15.180257-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=42, sum[0...42]=903, running on CPU=3
2025-03-27T14:52:15.438485-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=43, sum[0...43]=946, running on CPU=3
2025-03-27T14:52:15.652277-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=44, sum[0...44]=990, running on CPU=3
2025-03-27T14:52:15.870090-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=45, sum[0...45]=1035, running on CPU=3
2025-03-27T14:52:16.091976-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=46, sum[0...46]=1081, running on CPU=3
2025-03-27T14:52:16.371878-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=47, sum[0...47]=1128, running on CPU=3
2025-03-27T14:52:16.603341-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=48, sum[0...48]=1176, running on CPU=3
2025-03-27T14:52:16.839388-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=49, sum[0...49]=1225, running on CPU=3
2025-03-27T14:52:17.078770-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=50, sum[0...50]=1275, running on CPU=3
2025-03-27T14:52:17.372544-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=51, sum[0...51]=1326, running on CPU=3
2025-03-27T14:52:17.621644-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=52, sum[0...52]=1378, running on CPU=3
2025-03-27T14:52:17.875531-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=53, sum[0...53]=1431, running on CPU=3
2025-03-27T14:52:18.132830-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=54, sum[0...54]=1485, running on CPU=3
2025-03-27T14:52:18.444517-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=55, sum[0...55]=1540, running on CPU=3
2025-03-27T14:52:18.711460-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=56, sum[0...56]=1596, running on CPU=3
2025-03-27T14:52:18.983122-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=57, sum[0...57]=1653, running on CPU=3
2025-03-27T14:52:19.307763-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=58, sum[0...58]=1711, running on CPU=3
2025-03-27T14:52:19.587431-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=59, sum[0...59]=1770, running on CPU=3
2025-03-27T14:52:19.872155-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=60, sum[0...60]=1830, running on CPU=3
2025-03-27T14:52:20.161587-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=61, sum[0...61]=1891, running on CPU=3
2025-03-27T14:52:20.503962-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=62, sum[0...62]=1953, running on CPU=3
2025-03-27T14:52:20.801490-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=63, sum[0...63]=2016, running on CPU=3
2025-03-27T14:52:21.103970-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=64, sum[0...64]=2080, running on CPU=3
2025-03-27T14:52:21.460766-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=65, sum[0...65]=2145, running on CPU=3
2025-03-27T14:52:21.771368-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=66, sum[0...66]=2211, running on CPU=3
2025-03-27T14:52:22.086677-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=67, sum[0...67]=2278, running on CPU=3
2025-03-27T14:52:22.456490-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=68, sum[0...68]=2346, running on CPU=3
2025-03-27T14:52:22.781596-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=69, sum[0...69]=2415, running on CPU=3
2025-03-27T14:52:23.109966-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=70, sum[0...70]=2485, running on CPU=3
